school_name,school_url
温州大学,1619
美国国家大学(National University),1
内蒙古财经大学,726
中国舰船研究院,380
法国滨海大学,1
江汉大学,22
上海应用技术大学,697
安徽科技学院,17
西京学院,61
安阳师范学院,71
吉林华桥外国语学院,97
长春工程学院,132
北京石油化工学院,48
南阳师范学院,75
上海海关学院,59
浙江传媒学院,88
江苏理工学院,39
西安外国语大学,2190
黄冈师范学院,89
中国科学院北京基因组研究所,149
上海电机学院,109
中国计量大学,1676
中国科学院研究生院(计算与通信工程学院),1
台北大学,1
英国国立大学密德萨斯大学(Middlesex University),1
赤峰学院,5
湖南人文科技学院,15
浙江万里学院,13
山东政法学院,28
绵阳师范学院,7
南京审计大学,52
北华航天工业学院,76
河北金融学院,97
邵阳学院,10
南昌工程学院,127
重庆科技学院,79
洛阳师范学院,56
济宁医学院,39
西北政法大学,56
德国耶拿大学(Friedrich Schiller University Jena),1
山西中医学院,338
大连海洋大学,401
中国科学院深圳先进技术研究院,47
俄勒冈健康与科学大学(Oregon Health and science university）,1
西安航天精密机电研究所,2
广西中医药大学,717
中国科学院上海药物研究所,28
泉州师范学院,8
中国科学院重庆绿色智能技术研究院,18
浙江科技学院,2
中国科学院烟台海岸带研究所,61
宁夏师范学院,28
成都医学院,73
沈阳工程学院,49
西华师范大学,652
绍兴文理学院,3
华北科技学院,56
湖北科技学院,38
闽江学院,26
中国医药工业研究总院,24
昌吉学院,16
井冈山大学,29
防灾科技学院,27
西班牙阿尔卡拉大学,1
山东交通学院,14
厦门理工学院,60
西安微电子技术研究所,2
天水师范学院,76
